id,name,place_of_birth,date_of_birth,ethnicity,nationality,specialization,gender,height,weight,astrological_sign
0,牛爾,其它,1960-1969,未知,中國/臺灣,未知,男,未知,未知,水瓶
1,方舟子,福建,1960-1969,漢,中國,未知,男,未知,未知,未知
2,袁隆平,北京,1900-1959,漢,中國,科學/其它,男,未知,未知,處女
3,劉德華,香港,1960-1969,漢,中國/香港,娛樂/文藝,男,170-180,60-70,天秤
4,周傑倫,臺灣,1970-1979,漢,中國,娛樂/商業/文藝,男,170-180,未知,摩羯
5,楊冪,北京,1980-1989,漢,未知,娛樂,女,160-170,40-50,處女
6,李宇春,四川,1980-1989,漢,中國,娛樂,女,170-180,40-50,雙魚
7,範冰冰,山東,1980-1989,漢,中國,娛樂,女,160-170,50-60,處女
8,章子怡,北京,1970-1979,漢,中國,娛樂/文藝,女,160-170,未知,水瓶
9,王心淩,臺灣,1980-1989,漢,中國,娛樂/文藝,女,s160,40-50,處女
10,張柏芝,香港,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙子
11,成龍,香港,1900-1959,漢,中國,娛樂,男,170-180,70-80,白羊
12,姚明,上海,1980-1989,漢,中國,娛樂/體育,男,geq190,geq90,處女
13,趙薇,安徽,1970-1979,漢,中國,娛樂,女,160-170,40-50,雙魚
14,謝娜,四川,1980-1989,漢,中國,娛樂/文藝,女,160-170,40-50,金牛
15,張靚穎,四川,1980-1989,漢,中國,娛樂/文藝,女,160-170,40-50,天秤
16,林心如,臺灣,1970-1979,漢,中國,娛樂,女,160-170,40-50,水瓶
17,胡歌,上海,1980-1989,漢,中國,娛樂/商業/文藝,男,180-190,70-80,處女
18,柳岩,湖南,1980-1989,漢,中國,娛樂,女,160-170,40-50,天蠍
19,陳冠希,其它,1980-1989,未知,美加,娛樂,男,170-180,60-70,天秤
20,謝霆鋒,香港,1980-1989,漢,美加,娛樂/商業/文藝,男,170-180,60-70,處女
21,張韶涵,臺灣,1980-1989,漢,中國,娛樂,女,s160,40-50,摩羯
22,林志穎,臺灣,1970-1979,漢,中國,娛樂/商業,男,170-180,50-60,天秤
23,林書豪,美國,1980-1989,漢,中國,娛樂,男,geq190,geq90,處女
24,蒼井空,日本,1980-1989,未知,日本,娛樂,女,s160,40-50,天蠍
25,蔡依林,臺灣,1980-1989,漢,中國,娛樂/文藝,女,s160,40-50,處女
26,周星馳,香港,1960-1969,漢,中國,娛樂/商業/文藝/政治,男,170-180,60-70,巨蟹
27,吳奇隆,臺灣,1970-1979,漢,中國,娛樂,男,170-180,60-70,天蠍
28,郭敬明,四川,1980-1989,漢,中國,娛樂/商業/文藝,男,s160,未知,雙子
29,楊穎,上海/香港,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙魚
30,陳奕迅,香港,1970-1979,漢,中國,娛樂,男,170-180,70-80,獅子
31,莫言,山東,1900-1959,漢,中國,娛樂/文藝,男,未知,未知,摩羯
32,孫儷,上海,1980-1989,漢,中國,娛樂,女,160-170,未知,天秤
33,林志玲,臺灣,1970-1979,漢,中國,娛樂,女,170-180,50-60,射手
34,張馨予,江蘇,1980-1989,漢,中國,娛樂/文藝,女,160-170,50-60,白羊
35,鐘漢良,香港,1970-1979,漢,中國,娛樂/文藝,男,180-190,60-70,射手
36,王祖藍,香港,1980-1989,漢,中國,娛樂/其它,男,160-170,50-60,摩羯
37,劉愷威,香港,1970-1979,其它,中國/香港,娛樂,男,170-180,60-70,天秤
38,郭美美,湖南,1990至今,漢,中國,娛樂,女,160-170,40-50,雙子
39,白百何,山東,1980-1989,漢,中國,娛樂,女,170-180,未知,雙魚
40,錢學森,上海,1900-1959,漢,中國,科學,男,160-170,未知,射手
41,唐嫣,上海,1980-1989,漢,中國,娛樂,女,170-180,40-50,射手
42,溫碧霞,香港,1960-1969,漢,美加,娛樂,女,160-170,40-50,獅子
43,尹恩惠,韓國,1980-1989,朝鮮,韓國,娛樂/文藝,女,160-170,40-50,天秤
44,魯迅,浙江,1900前,漢,中國,文藝/其它,男,未知,未知,天秤
45,陳喬恩,臺灣,1970-1979,漢,中國,娛樂,女,160-170,40-50,白羊
46,郭晶晶,河北,1980-1989,漢,中國,體育,女,160-170,40-50,天秤
47,李小璐,安徽/北京,1980-1989,漢,中國,娛樂,女,160-170,40-50,天秤
48,李連傑,北京,1960-1969,漢,新馬,娛樂/商業/文藝/體育/其它,男,160-170,未知,金牛
49,趙本山,遼寧,1900-1959,漢,未知,娛樂/文藝,男,170-180,60-70,天秤
50,王力宏,臺灣/美國,1970-1979,漢,美加,娛樂/文藝,男,170-180,60-70,金牛
51,古天樂,香港,1970-1979,漢,中國,娛樂/文藝,男,170-180,60-70,天秤
52,曾軼可,湖南,1990至今,漢,中國,娛樂/文藝,女,160-170,40-50,摩羯
53,金賢重,韓國,1980-1989,朝鮮,韓國,娛樂/文藝,男,180-190,60-70,雙子
54,劉詩詩,北京,1980-1989,回,中國,娛樂,女,160-170,40-50,雙魚
55,藍燕,上海,未知,漢,中國,未知,女,160-170,40-50,雙魚
56,樸妮嘜,韓國,1990至今,朝鮮,韓國,娛樂,女,未知,未知,射手
57,幹露露,河南,1980-1989,漢,中國,娛樂,女,160-170,60-70,天蠍
58,張學友,香港,1960-1969,漢,中國,娛樂,男,170-180,60-70,巨蟹
59,蕭亞軒,臺灣,1970-1979,漢,中國,娛樂,女,160-170,40-50,處女
60,高圓圓,北京,1970-1979,漢,中國,娛樂,女,160-170,40-50,天秤
61,伊能靜,臺灣,1960-1969,漢,中國,娛樂/文藝,女,160-170,50-60,雙魚
62,宋茜,山東,1980-1989,漢,中國,娛樂,女,160-170,未知,水瓶
63,玄彬,韓國,1980-1989,未知,韓國,娛樂,男,180-190,70-80,天秤
64,吉克雋逸,四川,1980-1989,彝,中國,娛樂,女,160-170,40-50,金牛
65,撒貝南,廣東,1970-1979,回,中國,娛樂/其它,男,170-180,未知,白羊
66,韓庚,黑龍江,1980-1989,赫哲,中國,娛樂/文藝,男,180-190,50-60,水瓶
67,張衛健,香港,1960-1969,漢,中國,娛樂/文藝,男,160-170,未知,水瓶
68,梁朝偉,香港,1960-1969,未知,中國,娛樂,男,170-180,未知,巨蟹
69,蔡少芬,香港,1970-1979,漢,中國/香港,娛樂,女,170-180,50-60,處女
70,柴靜,山西,1970-1979,漢,中國,娛樂/其它,女,160-170,50-60,摩羯
71,李冰冰,黑龍江,1970-1979,漢,中國,娛樂/文藝,女,160-170,50-60,雙魚
72,小澤瑪利亞,日本,1980-1989,其它,日本,娛樂/文藝,女,160-170,未知,摩羯
73,李宗瑞,臺灣,1980-1989,未知,中國,其它,男,170-180,70-80,未知
74,魏如萱,臺灣,1980-1989,未知,中國/臺灣,娛樂,女,160-170,未知,天秤
75,王李丹妮,河南,1980-1989,蒙古,未知,娛樂,女,170-180,50-60,獅子
76,周筆暢,湖南,1980-1989,漢,中國,娛樂/商業/文藝,女,160-170,未知,獅子
77,瀧澤蘿拉,日本,1990至今,其它,日本,娛樂,女,170-180,未知,雙子
78,蘇有朋,臺灣,1970-1979,漢,中國,娛樂,男,170-180,60-70,處女
79,馮小剛,北京,1900-1959,漢,中國,娛樂/文藝,男,170-180,未知,雙魚
80,章澤天,江蘇,1990至今,漢,中國,娛樂/其它,女,未知,未知,天蠍
81,李娜,湖北,1980-1989,漢,中國,娛樂/體育,女,160-170,60-70,雙魚
82,王健林,四川,1900-1959,漢,中國,商業/其它,男,未知,未知,未知
83,劉燁,吉林,1970-1979,漢,中國,娛樂,男,180-190,70-80,白羊
84,毛澤東,湖南,1900前,漢,中國,文藝/政治/其它,男,180-190,未知,未知
85,戚薇,四川,1980-1989,漢,中國,娛樂,女,160-170,40-50,天蠍
86,張國榮,香港,1900-1959,漢,中國,娛樂/文藝,男,170-180,60-70,處女
87,吳彥祖,香港/美國,1970-1979,未知,中國,娛樂/商業/文藝,男,180-190,70-80,天秤
88,林峰,福建/香港,1970-1979,漢,中國,娛樂,男,170-180,未知,射手
89,艾薇兒,其它,1980-1989,未知,美加,娛樂,女,s160,未知,天秤
90,賈乃亮,黑龍江,1980-1989,漢,中國,娛樂,男,180-190,60-70,白羊
91,舒淇,香港/臺灣,1970-1979,漢,中國,娛樂/文藝,女,160-170,40-50,白羊
92,張傑,四川,1980-1989,漢,中國,娛樂,男,170-180,60-70,射手
93,孫楊,浙江,1990至今,漢,中國,體育,男,geq190,geq90,射手
94,柯震東,臺灣,1990至今,漢,中國/臺灣,娛樂,男,180-190,70-80,雙子
95,徐濠縈,香港,1970-1979,未知,中國/香港,娛樂,女,160-170,40-50,雙魚
96,庾澄慶,臺灣,1960-1969,漢,中國,娛樂/文藝,男,170-180,60-70,獅子
97,羅玉鳳,重慶,1980-1989,漢,中國,其它,女,s160,s40,天秤
98,周迅,浙江,1970-1979,漢,中國,娛樂,女,160-170,40-50,天秤
99,範文芳,其它,1970-1979,漢,新馬,娛樂,女,170-180,40-50,水瓶
100,尚雯婕,上海/江蘇,1980-1989,漢,中國,娛樂,女,160-170,未知,摩羯
101,劉曉慶,重慶,1900-1959,漢,中國,娛樂,女,s160,未知,天蠍
102,譚維維,四川,1980-1989,漢,中國,娛樂,女,160-170,50-60,天秤
103,趙奕歡,吉林,1980-1989,滿,中國,娛樂,女,160-170,40-50,天蠍
104,李易峰,四川,1980-1989,漢,中國,娛樂,男,180-190,50-60,金牛
105,吳莫愁,黑龍江,1990至今,漢,中國,娛樂,女,未知,未知,白羊
106,張繼科,其它,未知,漢,未知,未知,男,170-180,70-80,未知
107,文浩,湖北,1990至今,漢,中國,文藝,男,170-180,50-60,雙子
108,沖田杏梨,日本,1980-1989,其它,日本,娛樂/商業,女,160-170,40-50,天蠍
109,吉澤明步,日本,1980-1989,未知,日本,娛樂,女,160-170,未知,雙魚
110,任志強,北京,1900-1959,漢,中國,未知,男,未知,未知,未知
111,李彥宏,山西,未知,漢,中國,未知,男,未知,未知,未知
112,王寶強,河北,1980-1989,漢,中國,娛樂,男,160-170,50-60,雙子
113,宮崎駿,日本,1900-1959,其它,日本,娛樂/文藝,男,未知,未知,摩羯
114,黃宗澤,香港,1980-1989,漢,中國/香港,娛樂/文藝,男,170-180,60-70,射手
115,鹿?,北京/韓國,1990至今,漢,中國,娛樂,男,170-180,50-60,金牛
116,林俊傑,其它,1980-1989,漢,新馬,娛樂/商業/文藝,男,170-180,60-70,白羊
117,林宥嘉,臺灣,1980-1989,漢,中國,娛樂,男,170-180,60-70,巨蟹
118,林更新,遼寧,1980-1989,漢,中國,娛樂,男,180-190,未知,水瓶
119,湯唯,浙江,1970-1979,漢,中國,娛樂,女,170-180,未知,天秤
120,宋慧喬,韓國,1980-1989,朝鮮,韓國,娛樂,女,160-170,40-50,天蠍
121,李若彤,香港,1970-1979,未知,中國,娛樂,女,160-170,40-50,獅子
122,吳昕,遼寧,1980-1989,漢,未知,娛樂,女,160-170,40-50,水瓶
123,李嘉誠,廣東,1900-1959,漢,中國,商業/其它,男,未知,未知,未知
124,姚晨,福建,1970-1979,漢,中國,娛樂,女,160-170,40-50,天秤
125,霍思燕,北京,1980-1989,漢,中國,娛樂,女,160-170,40-50,天秤
126,羅志祥,臺灣,1970-1979,其它,中國,娛樂,男,170-180,60-70,獅子
