holder_id,target_id,label
57,57,1
57,976,1
57,1207,0
57,1259,0
1431,1565,1
1431,1531,1
1431,1534,1
1431,215,1
1431,1022,1
1431,437,1
1431,131,1
1431,144,1
1431,1384,1
1431,1431,1
1431,517,1
1431,776,1
1431,39,1
1431,112,1
1431,1206,1
1431,341,1
1431,574,0
1431,1247,0
1431,507,0
1431,614,0
1431,1055,0
1431,667,0
1431,1485,0
1431,238,0
1431,660,0
1431,688,0
1431,1439,0
1431,1621,0
1431,397,0
1431,1151,0
1431,704,0
1431,1148,0
1596,1596,1
1596,601,0
1723,92,1
1723,14,1
1723,297,0
1723,1421,0
1724,76,1
1724,152,1
1724,418,1
1724,742,0
1724,923,0
1724,1060,0
1725,878,1
1725,226,1
1725,193,0
1725,785,0
1726,976,1
1726,92,1
1726,739,1
1726,648,1
1726,1082,1
1726,1706,0
1726,1301,0
1726,1054,0
1726,1137,0
1726,518,0
1727,923,1
1727,402,1
1727,302,0
1727,100,0
1728,551,1
1728,597,0
1729,447,1
1729,797,1
1729,50,1
1729,556,1
1729,117,1
1729,880,0
1729,1225,0
1729,276,0
1729,342,0
1729,1326,0
1730,976,1
1730,245,1
1730,1710,0
1730,560,0
1731,76,1
1731,362,1
1731,1674,1
1731,941,0
1731,466,0
1731,1194,0
1732,976,1
1732,15,1
1732,616,0
1732,38,0
1733,104,1
1733,713,1
1733,1116,1
1733,114,1
1733,21,1
1733,519,1
1733,935,0
1733,1424,0
1733,826,0
1733,1515,0
1733,985,0
1733,333,0
1734,422,1
1734,62,1
1734,81,1
1734,1714,1
1734,1175,1
1734,739,0
1734,1122,0
1734,338,0
1734,507,0
1734,1471,0
1735,24,1
1735,1418,1
1735,378,1
1735,262,1
1735,1191,1
1735,1668,1
1735,669,1
1735,813,1
1735,843,1
1735,32,1
1735,1325,1
1735,81,1
1735,720,1
1735,766,0
1735,1133,0
1735,1609,0
1735,1617,0
1735,453,0
1735,1188,0
1735,694,0
1735,548,0
1735,776,0
1735,10,0
1735,1114,0
1735,863,0
1735,1266,0
1736,1116,1
1736,1170,0
1737,739,1
1737,976,1
1737,63,1
1737,352,1
1737,342,1
1737,1412,0
1737,1562,0
1737,1395,0
1737,1030,0
1737,989,0
1738,15,1
1738,13,1
1738,50,1
1738,962,1
1738,1098,0
1738,304,0
1738,1206,0
1738,1126,0
1739,364,1
1739,878,1
1739,1445,1
1739,1137,0
1739,613,0
1739,1070,0
1740,15,1
1740,1101,1
1740,294,1
1740,263,0
1740,921,0
1740,479,0
1741,1183,1
1741,402,1
1741,1659,1
1741,104,1
1741,1120,0
1741,715,0
1741,1582,0
1741,327,0
1742,17,1
1742,1277,0
1743,724,1
1743,654,1
1743,1555,0
1743,939,0
1744,1116,1
1744,254,1
1744,15,1
1744,1051,1
1744,1022,0
1744,93,0
1744,1607,0
1744,1482,0
1745,1126,1
1745,92,1
1745,1406,0
1745,356,0
1746,1126,1
1746,1721,1
1746,739,1
1746,6,1
1746,625,0
1746,274,0
1746,1062,0
1746,249,0
1747,1030,1
1747,1275,1
1747,1576,0
1747,875,0
1748,1126,1
1748,1445,1
1748,277,0
1748,403,0
1749,66,1
1749,492,1
1749,8,1
1749,958,0
1749,1722,0
1749,1211,0
1750,52,1
1750,1051,1
