id,location,gender
4568,福建,女
9917,廣西,女
9288,其它,男
11742,臺灣,男
4457,北京,男
3141,河北,男
8431,浙江,女
9873,江蘇,男
11478,上海,女
7266,北京,女
11789,廣東,女
12686,北京,女
7789,北京,男
7709,安徽,女
12039,其它,女
6243,北京,女
2784,湖北,女
12610,湖南,男
12201,北京,女
9968,其它,女
10754,天津,女
9114,天津,女
4923,廣東,女
12527,天津,女
3956,北京,女
9635,北京,女
10328,遼寧,男
11363,甘肅,女
12737,湖北,男
3701,江蘇,女
2769,福建,女
3861,北京,女
12145,山東,女
6438,安徽,男
9768,北京,男
5113,江蘇,女
12195,北京,男
7984,吉林,女
12275,北京,男
2414,上海,女
12331,吉林,女
6260,浙江,女
2262,北京,女
5255,遼寧,女
10943,山西,女
3949,北京,女
12192,北京,女
6732,浙江,男
2456,陝西,女
9908,其它,女
12041,北京,男
2120,廣東,女
11010,吉林,女
4347,山東,女
6814,江西,女
1904,北京,男
6574,重慶,女
12085,北京,女
9117,浙江,男
9979,上海,女
5359,江蘇,女
7904,遼寧,女
3930,上海,女
3520,廣東,男
12505,河北,女
11915,北京,女
8794,廣西,女
3704,河北,女
8129,其它,男
11125,福建,女
4346,北京,女
12805,北京,女
3073,河北,女
3636,浙江,男
10266,北京,女
10052,北京,女
9952,廣東,女
12266,北京,男
1731,浙江,女
11796,雲南,男
10555,湖北,女
8692,北京,女
6206,北京,男
12526,上海,男
8264,江蘇,男
8060,北京,男
12552,浙江,男
7003,江蘇,女
10100,廣東,女
2164,北京,男
6395,上海,女
10897,河北,女
6266,廣東,女
8075,廣西,女
7635,江蘇,女
2672,山東,女
11620,遼寧,男
7765,北京,男
6904,北京,女
11700,上海,女
10675,河北,男
12219,北京,女
2631,四川,女
10512,上海,女
7041,北京,女
6613,北京,男
7856,湖北,女
7877,上海,女
4952,北京,女
11195,北京,女
1737,貴州,女
11821,四川,女
8398,北京,男
10776,其它,女
9287,上海,女
4576,江蘇,女
7494,北京,男
10565,遼寧,女
10734,浙江,女
8128,雲南,男
9197,浙江,女
6576,河南,女
12006,廣東,女
9546,廣東,男
11506,江蘇,女
10308,上海,男
7385,其它,男
3787,上海,女
8436,北京,男
11167,天津,男
10149,北京,女
4489,江蘇,男
9476,北京,男
8207,上海,男
9625,天津,男
5657,北京,女
9081,福建,女
7996,湖南,男
3528,貴州,女
11409,廣東,男
9317,浙江,女
6008,河南,男
11806,北京,女
11298,河北,女
2365,浙江,女
9450,江蘇,女
6608,江西,女
1862,江蘇,女
4399,吉林,女
1740,四川,男
1870,北京,女
11838,北京,男
8883,上海,男
8418,上海,男
4235,北京,女
6275,黑龍江,女
11256,河北,男
1878,江蘇,女
8315,其它,女
8770,北京,男
6693,北京,女
7361,北京,女
1813,天津,女
8301,北京,女
6480,廣東,女
9534,北京,女
9285,福建,女
6887,臺灣,男
6158,北京,女
3676,浙江,男
6707,海外,女
11883,海外,女
10272,海外,女
10079,北京,男
8872,北京,男
5584,河北,女
10101,浙江,女
4043,陝西,女
8090,北京,女
4966,北京,女
3780,上海,男
6341,北京,女
9899,上海,男
7167,海南,女
10346,上海,女
8331,廣東,女
12753,北京,男
10236,其它,女
5724,其它,男
11259,湖南,女
2988,上海,女
3274,北京,男
12242,北京,男
7036,廣東,男
12194,江蘇,女
10068,上海,女
9074,北京,男
3900,湖南,女
3503,其它,女
9708,香港,女
9785,寧夏,男
8230,福建,女
6244,山東,女
6011,河北,女
7889,黑龍江,男
3340,江蘇,女
2209,上海,女
8061,北京,女
7902,北京,男
12604,福建,男
10051,香港,男
6573,浙江,男
5578,廣東,女
7697,上海,女
3414,廣東,女
3217,河南,男
3284,北京,女
4556,北京,女
11481,北京,男
11407,北京,女
12298,上海,女
9141,北京,女
10066,上海,女
10494,其它,女
9135,北京,女
9882,湖南,男
10362,北京,男
7419,北京,女
10208,北京,女
7774,北京,女
3044,北京,女
7710,北京,女
5291,上海,女
3128,上海,女
3372,天津,女
4702,其它,女
6660,遼寧,女
7397,北京,女
7767,北京,男
7794,上海,女
6799,江蘇,男
6118,海南,女
8539,山東,男
12699,北京,女
7593,廣東,男
5655,北京,女
9373,北京,女
12426,安徽,女
6152,其它,女
9409,北京,女
3630,天津,男
3716,遼寧,女
5107,吉林,男
8545,湖南,女
5111,北京,女
11462,吉林,男
2801,北京,女
10996,江蘇,女
4384,浙江,女
9343,遼寧,男
10412,浙江,女
7997,北京,男
6820,湖南,男
11536,北京,男
6128,江西,女
6252,北京,男
4726,福建,女
4519,上海,女
4915,上海,男
5875,北京,女
2711,四川,男
8693,北京,女
12695,上海,女
8079,青海,男
7435,廣東,女
10492,北京,女
6261,安徽,女
5324,廣東,女
12024,北京,男
11805,北京,男
4102,北京,男
12277,福建,女
4371,上海,男
10961,北京,男
11910,北京,男
7744,北京,男
10114,四川,女
3838,北京,女
11598,浙江,男
2509,上海,女
9328,山東,男
12072,北京,男
12045,北京,男
7355,其它,女
3795,北京,女
11668,甘肅,女
8636,北京,女
7410,湖北,女
8538,北京,女
3723,甘肅,女
8296,北京,女
6300,遼寧,男
8197,上海,男
3397,海外,男
9052,北京,女
2620,北京,女
7202,四川,女
3059,北京,男
5713,臺灣,男
6326,四川,女
9703,上海,女
4937,北京,男
3763,湖北,女
9458,河南,女
9225,北京,男
11585,北京,女
3904,山西,女
12370,廣東,男
12756,北京,女
7874,四川,男
1959,湖北,女
11301,北京,女
10134,河北,男
10551,北京,女
12790,貴州,女
10668,上海,女
2223,香港,男
11991,山東,男
6258,山東,女
4993,北京,女
12668,河南,女
8063,浙江,女
10110,上海,男
6988,河南,女
4256,江蘇,女
6320,湖南,女
7077,重慶,女
6777,遼寧,女
2565,北京,男
12632,北京,女
3330,北京,女
8664,吉林,女
8358,上海,男
3226,上海,女
1735,廣東,男
10579,其它,女
11258,北京,男
8929,浙江,男
3383,河北,女
12351,廣東,男
8438,北京,男
6123,臺灣,女
11427,黑龍江,女
2539,廣東,男
9184,北京,女
4644,河南,男
6179,北京,男
12508,湖北,女
12735,北京,女
4551,河南,女
11035,北京,女
7863,北京,男
9995,廣東,女
8938,重慶,男
8196,廣東,男
4316,四川,女
11960,北京,女
8740,北京,男
9198,北京,男
2315,上海,女
11216,雲南,女
4092,上海,女
4121,北京,男
2207,四川,女
6741,四川,女
7696,浙江,女
8588,上海,男
10139,北京,女
11947,上海,女
7815,天津,女
2403,湖南,男
2035,天津,女
9071,北京,女
12150,北京,男
4205,其它,女
11696,北京,男
4306,北京,女
9466,上海,女
8476,江蘇,男
11036,遼寧,女
6412,遼寧,女
5435,北京,女
4131,北京,女
9338,北京,女
5180,浙江,女
9813,湖南,女
7929,北京,男
6462,廣東,女
4755,北京,女
6663,北京,男
6914,北京,女
6088,江蘇,女
9308,北京,女
7450,北京,女
6093,河北,女
4128,山東,女
9800,江蘇,男
9132,江蘇,女
12648,上海,女
12558,廣東,女
7800,江蘇,女
8789,安徽,女
6490,江蘇,女
4877,北京,男
4545,上海,女
10740,北京,女
12750,四川,女
5266,江蘇,女
11677,上海,女
5776,北京,女
7606,遼寧,女
5315,其它,女
12144,北京,男
2210,浙江,女
11800,北京,男
9770,江蘇,女
9817,北京,男
8985,江西,女
4630,遼寧,女
4068,黑龍江,女
10678,江蘇,女
5273,江西,女
12059,北京,男
