holder_id,target_id
1723,92
1724,76
1725,878
1726,976
1727,923
1728,551
1729,447
1730,976
1731,76
1732,976
1733,104
1734,422
1735,24
1736,1116
1737,739
1738,15
1739,364
1740,15
1741,1183
1742,17
1743,724
1744,1116
1745,1126
1746,1126
1747,1030
1748,1126
1749,66
1750,52
1751,526
1752,53
1753,1445
1754,931
1755,976
1756,1445
1757,739
1758,386
1759,1445
1760,76
1761,825
1762,16
1763,889
1764,670
1765,1116
1766,1445
1767,878
1768,698
1769,66
1770,492
1771,116
1772,739
1773,139
1774,343
1775,386
1776,409
1777,1648
1778,479
1779,139
1780,254
1781,294
1782,1116
1783,52
1784,610
1785,92
1786,1445
1787,41
1787,280
1787,197
1788,100
1789,1126
1790,261
1791,150
1792,53
1793,17
1793,230
1794,1679
1795,859
1796,92
1797,57
1798,1484
1799,1043
1800,6
1801,92
1802,17
1803,1445
1804,360
1805,195
1806,76
1807,753
1808,789
1809,81
1810,561
1811,660
1812,198
1813,76
1814,126
1815,16
1816,402
1817,931
1818,126
1819,4
1820,17
1821,1108
1822,16
1823,53
1824,76
1825,316
1826,6
1827,5
1828,1505
1829,17
1830,85
1831,5
1832,76
1833,976
1834,117
1835,412
1836,230
1837,836
1838,6
1839,66
1840,668
1841,54
1842,186
1843,342
1837,660
1844,6
1845,551
1846,402
1847,1086
1848,325
1849,976
1850,256
1851,88
1852,449
1853,76
1854,148
1855,878
1856,54
1857,1126
1858,1081
1859,25
1860,17
1861,572
1862,14
1863,572
1864,739
1865,6
1866,878
1867,655
1868,869
1869,1564
1870,13
1871,342
1872,342
1873,976
1874,52
1875,66
1876,92
1877,1257
1878,256
1879,100
1880,118
1881,310
1882,35
1883,1170
1884,45
1885,260
1886,889
1887,402
1888,994
1889,1170
1890,171
1891,174
1892,1445
1893,35
1894,17
1895,1090
1896,45
1897,878
1898,768
1899,54
1900,1445
1901,100
1879,976
1902,17
1903,1116
1904,348
1905,255
1906,668
1907,115
1908,1170
1909,525
1910,668
1911,6
1912,6
1913,104
1914,35
1915,215
1916,16
1917,1385
1918,386
1919,6
1920,797
1921,3
1922,1651
1923,76
1924,53
1925,525
1926,931
1927,444
1928,260
1929,1126
1930,878
1931,115
1932,259
1933,151
1934,1559
1935,1311
1936,1311
1937,931
1938,124
1938,16
1938,69
1939,53
1940,37
1941,27
1942,267
1943,632
1944,35
1945,1385
1942,505
1946,6
1947,1170
1948,931
1949,739
1950,5
1951,174
1951,476
1952,76
1953,1014
1954,115
1955,66
1956,1126
1957,1079
1958,76
1959,86
1960,162
1961,354
1962,1126
1963,174
1964,799
1965,17
1966,1721
1967,177
1968,16
1969,6
1970,96
1971,1126
1972,3
1973,115
1974,27
1975,62
1976,22
1977,315
1978,76
1979,572
1980,17
1981,45
1982,640
1983,66
1984,5
1985,27
1986,27
1987,53
1988,461
1989,17
1990,37
1991,8
1992,668
1963,476
1993,3
1994,1126
1995,62
1996,115
1997,172
1998,115
1999,931
2000,5
2001,223
2002,76
2003,309
2004,305
2005,53
2006,739
2007,180
2008,457
2009,78
2010,519
2011,260
2012,1090
2013,1601
2014,174
2014,476
2015,115
2016,92
2017,726
2018,177
2019,1578
2020,476
2021,295
2022,1074
2023,1126
2024,27
2025,76
2026,444
2027,1257
2028,931
2029,45
2030,1054
2031,177
2032,5
2033,76
2034,5
2035,17
2036,976
2037,4
2038,6
2039,6
2040,1074
2041,6
2042,878
2043,676
2044,619
2045,6
2046,35
2047,519
2048,260
2049,386
2050,35
2051,5
2052,976
2053,333
2054,878
2055,364
2056,76
2057,76
2058,698
2059,115
2060,6
2061,5
2062,35
2063,976
2064,878
2065,402
2066,6
2067,260
2068,6
2069,76
2070,6
2071,1074
2072,5
2073,35
2074,976
2075,934
2076,76
2077,934
2078,5
2079,6
2080,1074
2081,1447
2082,619
2083,17
2084,22
2085,27
2086,76
2087,801
2088,27
2089,1721
2090,54
2091,1721
2092,92
2093,76
2094,104
2095,426
2096,1721
2097,6
2098,215
2099,660
2100,671
2101,660
2102,520
2103,6
2104,106
2105,76
2106,561
2107,17
2108,295
2109,17
2110,1445
2111,50
2112,66
2113,45
2114,525
2115,976
2116,81
2117,6
2118,53
2119,724
2120,172
2121,976
2122,369
2123,457
2124,162
2125,86
2126,45
2127,1452
2128,464
2129,388
2130,126
2131,76
2132,1126
2133,884
2134,100
2135,976
2136,924
2137,1126
2138,1587
2139,878
2140,551
2141,27
2142,1126
2143,115
2144,653
2145,390
2146,364
2146,175
2147,92
2148,1266
2149,378
2150,865
2151,1618
2152,976
2153,878
2154,976
2155,976
2156,254
2157,1445
2158,660
2159,1126
2160,1412
2161,216
2162,343
2163,786
2164,1714
2165,6
2166,259
2167,1279
2168,115
2169,1108
2170,572
2171,1472
2172,1491
2173,1445
2174,931
2175,217
2123,126
2176,1465
2177,660
2178,233
2179,100
2180,6
2181,1721
2182,45
2183,5
2184,1195
2185,1717
2186,1721
2187,100
2188,525
2189,1126
2190,668
2191,476
2192,1396
2193,45
2194,754
2195,388
2196,115
2197,93
2198,668
2199,384
2200,27
2201,994
2202,332
2203,236
2204,768
2205,1126
2206,525
2207,6
2208,402
2209,976
2210,6
2211,698
2212,1687
2213,931
2214,976
2215,88
2216,357
2217,174
2218,1074
2219,561
2220,215
2221,174
2222,976
2223,672
2224,1126
2225,52
2226,5
2227,198
2228,782
2229,55
2230,1126
2231,53
2232,51
2233,1126
2234,98
2235,17
2236,1126
2237,251
2238,259
2239,1445
2240,174
2241,116
2242,1159
2243,199
2244,199
2245,23
2246,5
2247,1445
2248,17
2249,27
2250,199
2251,199
2252,1159
2253,1463
2254,199
2255,509
2255,35
2256,782
2257,768
2258,27
2259,182
2260,25
2261,940
2262,54
2263,171
2264,6
2265,1680
2266,768
2267,684
2268,1088
2269,146
2270,17
2271,1013
2272,66
2273,768
2274,1516
2275,1263
2276,668
2277,386
2278,392
2019,1015
2279,76
2280,179
2281,115
2282,976
2283,54
2284,619
2285,88
2286,27
2287,461
2288,177
2289,316
2290,1445
2291,878
2292,1116
2293,940
2294,460
2295,929
2296,739
2297,409
2298,505
2203,1126
2299,994
2300,1587
2301,92
2302,259
2303,102
2304,1376
2305,92
2306,76
2307,5
2308,320
2303,629
2309,1452
2310,859
2311,976
2312,1445
2313,976
2314,931
2315,931
2316,1236
2317,41
2318,54
2319,412
2317,17
2320,54
2321,13
2322,17
2323,415
2324,1385
2325,6
2326,92
2327,782
2328,54
2329,76
2330,35
2331,1644
2332,27
2333,1587
2334,151
2334,668
2335,1696
2336,66
2337,369
2338,62
2339,9
2340,525
2341,660
2342,505
2343,6
2344,63
2345,753
2346,1038
2347,14
2348,37
2349,6
2350,260
2351,62
2352,739
2353,310
2354,1170
2355,1090
2356,115
2357,114
